Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ritz,2014,50.25,83.85,27000,Petrol,Dealer,Manual,0
sx4,2013,71.25,143.1,43000,Diesel,Dealer,Manual,0
ciaz,2017,108.75,147.75,6900,Petrol,Dealer,Manual,0
wagon r,2011,42.75,62.25,5200,Petrol,Dealer,Manual,0
swift,2014,69.0,103.05,42450,Diesel,Dealer,Manual,0
vitara brezza,2018,138.75,147.45,2071,Diesel,Dealer,Manual,0
ciaz,2015,101.25,121.8,18796,Petrol,Dealer,Manual,0
s cross,2015,97.5,129.15,33429,Diesel,Dealer,Manual,0
ciaz,2016,131.25,133.35,20273,Diesel,Dealer,Manual,0
ciaz,2015,111.75,133.8,42367,Diesel,Dealer,Manual,0
alto 800,2017,42.75,54.0,2135,Petrol,Dealer,Manual,0
ciaz,2015,102.75,155.7,51000,Diesel,Dealer,Manual,0
ciaz,2015,112.5,149.1,15000,Petrol,Dealer,Automatic,0
ertiga,2015,91.5,115.65,26000,Petrol,Dealer,Manual,0
dzire,2009,33.75,108.15,77427,Petrol,Dealer,Manual,0
ertiga,2016,116.25,161.85,43000,Diesel,Dealer,Manual,0
ertiga,2015,108.75,161.85,41678,Diesel,Dealer,Manual,0
ertiga,2016,116.25,161.85,43000,Diesel,Dealer,Manual,0
wagon r,2015,48.75,76.35,35500,CNG,Dealer,Manual,0
sx4,2010,39.75,119.7,41442,Petrol,Dealer,Manual,0
alto k10,2016,42.75,59.25,25000,Petrol,Dealer,Manual,0
ignis,2017,73.5,85.65,2400,Petrol,Dealer,Manual,0
sx4,2011,66.0,120.15,50000,Petrol,Dealer,Automatic,0
alto k10,2014,37.5,51.9,45280,Petrol,Dealer,Manual,0
wagon r,2013,43.5,66.15,56879,Petrol,Dealer,Manual,0
swift,2011,45.0,74.85,20000,Petrol,Dealer,Manual,0
swift,2013,62.25,88.05,55138,Petrol,Dealer,Manual,0
swift,2017,90.0,97.35,16200,Petrol,Individual,Manual,0
alto k10,2010,29.25,59.25,44542,Petrol,Dealer,Manual,0
ciaz,2015,111.75,155.7,45000,Diesel,Dealer,Manual,0
ritz,2012,46.5,89.7,51439,Diesel,Dealer,Manual,0
ritz,2011,35.25,73.35,54200,Petrol,Dealer,Manual,0
swift,2014,74.25,112.35,39000,Diesel,Dealer,Manual,0
ertiga,2014,90.0,149.25,45000,Diesel,Dealer,Manual,0
dzire,2014,82.5,120.9,45000,Diesel,Dealer,Manual,0
sx4,2011,44.25,116.1,49998,CNG,Dealer,Manual,0
dzire,2015,69.75,108.0,48767,Petrol,Dealer,Manual,0
800,2003,5.25,34.2,127000,Petrol,Individual,Manual,0
alto k10,2016,45.0,56.4,10079,Petrol,Dealer,Manual,0
sx4,2003,33.75,119.7,62000,Petrol,Dealer,Manual,0
baleno,2016,87.75,118.05,24524,Petrol,Dealer,Automatic,0
alto k10,2014,38.25,59.7,46706,Petrol,Dealer,Manual,0
sx4,2008,29.25,107.25,58000,Petrol,Dealer,Manual,0
dzire,2014,82.5,120.9,45780,Diesel,Dealer,Manual,0
omni,2012,18.75,40.35,50000,Petrol,Dealer,Manual,0
ciaz,2014,112.5,180.6,15000,Petrol,Dealer,Automatic,0
ritz,2013,39.75,73.35,64532,Petrol,Dealer,Manual,0
wagon r,2006,15.75,62.25,65000,Petrol,Dealer,Manual,0
ertiga,2015,87.0,115.65,25870,Petrol,Dealer,Manual,0
ciaz,2017,116.25,139.35,37000,Petrol,Dealer,Automatic,0
fortuner,2012,223.5,459.15,104707,Diesel,Dealer,Automatic,0
fortuner,2015,345.0,459.15,40000,Diesel,Dealer,Automatic,0
innova,2017,270.0,296.55,15000,Diesel,Dealer,Automatic,0
fortuner,2013,240.0,459.15,135000,Diesel,Individual,Automatic,0
innova,2005,41.25,153.15,90000,Petrol,Individual,Manual,0
corolla altis,2009,54.0,225.6,70000,Petrol,Dealer,Automatic,0
etios cross,2015,67.5,109.05,40534,Petrol,Dealer,Manual,0
corolla altis,2010,71.25,278.1,50000,Petrol,Dealer,Manual,0
etios g,2014,61.5,102.0,39485,Petrol,Dealer,Manual,1
fortuner,2014,299.85,539.4,41000,Diesel,Dealer,Automatic,0
corolla altis,2013,104.25,279.15,40001,Petrol,Dealer,Manual,0
etios cross,2015,67.5,115.5,40588,Petrol,Dealer,Manual,0
fortuner,2014,281.25,539.4,78000,Diesel,Dealer,Automatic,0
fortuner,2015,352.5,539.4,47000,Diesel,Dealer,Automatic,0
fortuner,2017,495.0,543.45,6000,Diesel,Dealer,Automatic,0
etios liva,2014,71.25,104.25,45000,Diesel,Dealer,Manual,0
innova,2017,296.25,347.25,11000,Petrol,Dealer,Automatic,0
fortuner,2010,138.75,306.75,59000,Diesel,Dealer,Manual,0
corolla altis,2011,65.25,206.1,88000,Petrol,Dealer,Manual,0
corolla altis,2016,213.75,313.65,12000,Petrol,Dealer,Manual,0
etios liva,2014,59.25,101.4,71000,Diesel,Dealer,Manual,0
corolla altis,2011,67.5,187.2,45000,Diesel,Dealer,Manual,0
corolla altis,2013,111.75,279.15,56001,Petrol,Dealer,Manual,0
etios liva,2011,39.75,85.65,43000,Petrol,Dealer,Manual,0
etios cross,2014,73.5,133.95,83000,Diesel,Dealer,Manual,0
etios g,2015,59.25,102.0,36000,Petrol,Dealer,Manual,0
corolla altis,2013,82.5,220.2,72000,Petrol,Dealer,Manual,0
corolla,2004,22.5,185.25,135154,Petrol,Dealer,Automatic,0
corolla altis,2010,78.75,342.45,80000,Petrol,Dealer,Automatic,0
fortuner,2012,217.5,459.15,89000,Diesel,Dealer,Automatic,0
corolla altis,2016,220.95,223.35,23000,Diesel,Dealer,Manual,0
etios gd,2015,71.25,117.75,40000,Diesel,Dealer,Manual,0
innova,2017,345.0,380.85,15000,Diesel,Dealer,Automatic,0
innova,2015,187.5,201.9,38000,Diesel,Dealer,Manual,0
innova,2005,52.35,201.9,197176,Diesel,Dealer,Manual,0
camry,2006,37.5,355.95,142000,Petrol,Individual,Automatic,3
land cruiser,2010,525.0,1389.0,78000,Diesel,Dealer,Manual,0
corolla altis,2012,88.5,206.1,56000,Petrol,Dealer,Manual,0
etios liva,2013,51.75,90.75,47000,Petrol,Dealer,Manual,0
etios g,2014,71.25,101.4,40000,Petrol,Dealer,Manual,0
corolla altis,2009,57.0,279.15,62000,Petrol,Dealer,Manual,0
innova,2014,168.75,241.35,58242,Diesel,Dealer,Manual,0
innova,2005,52.65,205.5,75000,Petrol,Dealer,Manual,0
fortuner,2015,345.0,459.15,40000,Diesel,Dealer,Automatic,0
corolla altis,2008,60.0,341.7,89000,Petrol,Dealer,Automatic,0
corolla altis,2012,87.75,279.15,72000,Petrol,Dealer,Manual,0
innova,2016,311.25,380.85,29000,Diesel,Dealer,Automatic,0
corolla altis,2017,255.0,279.6,8700,Petrol,Dealer,Manual,0
corolla altis,2013,105.75,279.15,45000,Petrol,Dealer,Manual,0
fortuner,2010,144.75,306.75,50024,Diesel,Dealer,Manual,0
Royal Enfield Thunder 500,2016,26.25,28.5,3000,Petrol,Individual,Manual,0
UM Renegade Mojave,2017,25.5,27.3,1400,Petrol,Individual,Manual,0
KTM RC200,2017,24.75,26.7,4000,Petrol,Individual,Manual,0
Bajaj Dominar 400,2017,21.75,24.0,1200,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2017,20.25,22.05,4100,Petrol,Individual,Manual,0
KTM RC390,2015,20.25,35.55,21700,Petrol,Individual,Manual,0
Hyosung GT250R,2014,20.25,51.75,16500,Petrol,Individual,Manual,1
Royal Enfield Thunder 350,2013,18.75,22.5,15000,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2016,18.0,22.5,18000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2017,18.0,22.05,11000,Petrol,Individual,Manual,0
KTM RC200,2016,18.0,26.7,6000,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2016,17.25,22.5,8700,Petrol,Individual,Manual,0
KTM 390 Duke ,2014,17.25,36.0,7000,Petrol,Individual,Manual,0
Mahindra Mojo XT300,2016,17.25,21.0,35000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,17.25,22.05,17000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,16.65,22.05,17500,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2013,16.5,22.05,33000,Petrol,Individual,Manual,0
Royal Enfield Thunder 500,2015,16.5,28.5,14000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2015,16.5,22.05,26000,Petrol,Individual,Manual,0
Royal Enfield Thunder 500,2013,15.75,28.5,5400,Petrol,Individual,Manual,0
Bajaj Pulsar RS200,2016,15.75,18.9,5700,Petrol,Individual,Manual,0
Royal Enfield Thunder 350,2011,15.75,22.5,6900,Petrol,Individual,Manual,0
Royal Enfield Bullet 350,2016,15.75,17.55,6000,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2013,15.0,22.05,46500,Petrol,Individual,Manual,0
Royal Enfield Classic 500,2012,14.25,26.25,11500,Petrol,Individual,Manual,0
Royal Enfield Classic 500,2009,13.5,26.25,40000,Petrol,Individual,Manual,0
Bajaj Avenger 220,2017,13.5,14.25,1300,Petrol,Individual,Manual,0
Bajaj Avenger 150,2016,11.25,12.0,7000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2017,12.0,13.05,3000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2017,11.7,12.6,5000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2017,11.25,13.05,11000,Petrol,Individual,Manual,0
Yamaha FZ 16,2015,11.25,12.3,18000,Petrol,Individual,Manual,0
Bajaj Avenger 220,2017,11.25,14.25,3500,Petrol,Individual,Manual,0
Bajaj Avenger 220,2016,10.8,14.25,500,Petrol,Individual,Manual,0
TVS Apache RTR 160,2017,9.75,12.15,11800,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2015,9.75,11.1,5000,Petrol,Individual,Manual,0
Honda CBR 150,2014,9.75,18.0,23500,Petrol,Individual,Manual,0
Hero Extreme,2013,9.75,11.8,16000,Petrol,Individual,Manual,0
Honda CB Hornet 160R,2016,9.0,13.05,15000,Petrol,Individual,Manual,0
Bajaj Avenger 220 dtsi,2015,9.0,14.25,16600,Petrol,Individual,Manual,0
Honda CBR 150,2013,9.0,18.0,32000,Petrol,Individual,Manual,0
Bajaj Avenger 150 street,2016,9.0,12.0,20000,Petrol,Individual,Manual,0
Yamaha FZ  v 2.0,2015,9.0,12.6,29000,Petrol,Individual,Manual,0
Yamaha FZ  v 2.0,2016,9.0,12.6,25000,Petrol,Individual,Manual,0
Bajaj Pulsar  NS 200,2014,9.0,14.85,25000,Petrol,Individual,Manual,0
TVS Apache RTR 160,2012,9.0,12.15,19000,Petrol,Individual,Manual,0
Hero Extreme,2014,8.25,11.8,15000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2015,8.25,12.6,58000,Petrol,Individual,Manual,0
Bajaj Pulsar 220 F,2010,7.8,14.1,45000,Petrol,Individual,Manual,0
Bajaj Pulsar 220 F,2016,7.65,14.1,24000,Petrol,Individual,Manual,0
TVS Apache RTR 180,2011,7.5,12.39,6000,Petrol,Individual,Manual,0
Hero Passion X pro,2016,7.5,8.25,31000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2012,7.5,14.85,13000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2013,7.5,14.85,45000,Petrol,Individual,Manual,0
Yamaha Fazer ,2014,7.5,13.2,8000,Petrol,Individual,Manual,0
Honda Activa 4G,2017,7.2,7.65,4300,Petrol,Individual,Automatic,0
TVS Sport ,2017,7.2,7.8,15000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2015,7.2,12.6,23000,Petrol,Individual,Manual,0
Honda Dream Yuga ,2017,7.2,8.1,8600,Petrol,Individual,Manual,0
Honda Activa 4G,2017,6.75,7.65,4000,Petrol,Individual,Automatic,0
Bajaj Avenger Street 220,2011,6.75,14.25,24000,Petrol,Individual,Manual,0
TVS Apache RTR 180,2014,6.75,12.39,23000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2012,6.75,14.85,14500,Petrol,Individual,Manual,0
Bajaj Avenger 220 dtsi,2010,6.75,14.25,27000,Petrol,Individual,Manual,0
Hero Splender iSmart,2016,6.75,8.1,14000,Petrol,Individual,Manual,0
Activa 3g,2016,6.75,8.1,500,Petrol,Individual,Automatic,0
Hero Passion Pro,2016,6.75,8.25,1000,Petrol,Individual,Manual,0
TVS Apache RTR 160,2014,6.3,12.15,42000,Petrol,Individual,Manual,0
Honda CB Trigger,2013,6.3,10.95,12000,Petrol,Individual,Manual,0
Hero Splender iSmart,2015,6.0,8.1,14000,Petrol,Individual,Manual,0
Yamaha FZ S ,2012,6.0,12.45,5500,Petrol,Individual,Manual,0
Hero Passion Pro,2015,6.0,8.25,6700,Petrol,Individual,Manual,0
Bajaj Pulsar 135 LS,2014,6.0,9.6,13700,Petrol,Individual,Manual,0
Activa 4g,2017,6.0,7.65,1300,Petrol,Individual,Automatic,0
Honda CB Unicorn,2015,5.7,10.8,38600,Petrol,Individual,Manual,0
Hero Honda CBZ extreme,2011,5.7,11.8,75000,Petrol,Individual,Manual,0
Honda Karizma,2011,5.25,15.75,30000,Petrol,Individual,Manual,0
Honda Activa 125,2016,5.25,8.55,24000,Petrol,Individual,Automatic,0
TVS Jupyter,2014,5.25,7.8,19000,Petrol,Individual,Automatic,0
Honda Karizma,2010,4.65,15.75,213000,Petrol,Individual,Manual,0
Hero Honda Passion Pro,2012,4.5,7.65,60000,Petrol,Individual,Manual,0
Hero Splender Plus,2016,4.5,7.2,50000,Petrol,Individual,Manual,0
Honda CB Shine,2013,4.5,8.7,30000,Petrol,Individual,Manual,0
Bajaj Discover 100,2013,4.05,7.05,21000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2008,3.75,11.25,26000,Petrol,Individual,Manual,1
Suzuki Access 125,2008,3.75,8.7,1900,Petrol,Individual,Automatic,0
TVS Wego,2010,3.75,7.8,22000,Petrol,Individual,Automatic,0
Honda CB twister,2013,3.75,7.65,32000,Petrol,Individual,Manual,0
Hero Glamour,2013,3.75,8.55,18000,Petrol,Individual,Manual,0
Hero Super Splendor,2005,3.0,8.55,55000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2008,3.0,11.25,60000,Petrol,Individual,Manual,0
Bajaj Discover 125,2012,3.0,8.55,25000,Petrol,Individual,Manual,1
Hero Hunk,2007,3.0,11.25,49000,Petrol,Individual,Manual,1
Hero  Ignitor Disc,2013,3.0,9.75,24000,Petrol,Individual,Manual,1
Hero  CBZ Xtreme,2008,3.0,11.8,50000,Petrol,Individual,Manual,0
Bajaj  ct 100,2015,2.7,4.8,35000,Petrol,Individual,Manual,0
Activa 3g,2008,2.55,7.8,500000,Petrol,Individual,Automatic,0
Honda CB twister,2010,2.4,7.65,33000,Petrol,Individual,Manual,0
Bajaj Discover 125,2011,2.25,8.55,35000,Petrol,Individual,Manual,1
Honda CB Shine,2007,1.8,8.7,53000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2006,1.5,11.25,92233,Petrol,Individual,Manual,0
i20,2010,48.75,101.85,58000,Diesel,Dealer,Manual,1
grand i10,2015,66.0,85.5,28200,Petrol,Dealer,Manual,0
i10,2011,44.25,69.0,53460,Petrol,Dealer,Manual,0
eon,2015,41.25,66.45,28282,Petrol,Dealer,Manual,0
grand i10,2016,78.75,85.5,3493,Petrol,Dealer,Manual,1
xcent,2017,86.25,106.95,12479,Petrol,Dealer,Manual,0
grand i10,2015,77.25,85.5,34797,Petrol,Dealer,Automatic,0
i20,2017,118.5,121.5,3435,Petrol,Dealer,Manual,0
grand i10,2015,72.75,85.5,21125,Diesel,Dealer,Manual,0
i10,2012,46.5,69.0,35775,Petrol,Dealer,Manual,0
elantra,2015,176.25,221.85,43535,Diesel,Dealer,Manual,0
creta,2016,168.75,204.0,22671,Petrol,Dealer,Manual,0
i20,2011,43.5,101.85,31604,Petrol,Dealer,Manual,0
grand i10,2017,78.75,85.5,20114,Petrol,Dealer,Manual,0
verna,2012,67.5,141.0,36100,Petrol,Dealer,Manual,0
eon,2016,43.5,66.45,12500,Petrol,Dealer,Manual,0
eon,2016,47.25,66.45,15000,Petrol,Dealer,Manual,0
verna,2014,96.75,141.0,45078,Petrol,Dealer,Manual,0
verna,2012,67.5,141.0,36000,Petrol,Dealer,Manual,0
eon,2017,52.5,66.45,38488,Petrol,Dealer,Manual,0
i20,2013,67.5,101.85,32000,Petrol,Dealer,Automatic,0
i20,2014,90.0,114.0,77632,Diesel,Dealer,Manual,0
verna,2015,123.75,141.0,61381,Diesel,Dealer,Manual,0
verna,2013,76.65,141.0,36198,Petrol,Dealer,Automatic,0
i10,2011,40.5,69.0,22517,Petrol,Dealer,Manual,0
grand i10,2015,78.75,85.5,24678,Petrol,Dealer,Manual,0
i10,2011,38.25,66.45,57000,Petrol,Dealer,Manual,0
verna,2012,74.25,141.0,60000,Diesel,Dealer,Manual,0
i20,2012,46.5,101.85,52132,Diesel,Dealer,Manual,0
verna,2013,92.25,141.0,45000,Diesel,Dealer,Manual,0
verna,2017,138.75,141.0,15001,Petrol,Dealer,Manual,0
elantra,2015,171.75,221.85,12900,Petrol,Dealer,Automatic,0
grand i10,2013,58.5,85.5,53000,Diesel,Dealer,Manual,0
grand i10,2015,82.5,85.5,4492,Petrol,Dealer,Manual,0
verna,2017,136.5,141.0,15141,Petrol,Dealer,Manual,0
eon,2016,46.5,66.45,11849,Petrol,Dealer,Manual,0
creta,2015,168.75,204.0,68000,Diesel,Dealer,Manual,0
verna,2013,72.0,141.0,60241,Petrol,Dealer,Manual,0
eon,2012,30.0,66.45,23709,Petrol,Dealer,Manual,0
verna,2012,80.25,141.0,32322,Diesel,Dealer,Manual,0
xcent,2015,71.25,106.95,35866,Petrol,Dealer,Manual,1
xcent,2014,66.0,106.95,34000,Petrol,Dealer,Manual,0
i20,2016,93.75,114.0,7000,Petrol,Dealer,Manual,0
verna,2013,89.25,141.0,49000,Diesel,Dealer,Manual,0
verna,2012,78.0,141.0,71000,Diesel,Dealer,Manual,0
i20,2012,56.25,101.85,35000,Petrol,Dealer,Manual,0
verna,2015,89.25,141.0,36000,Petrol,Dealer,Manual,0
i10,2013,60.0,69.0,30000,Petrol,Dealer,Manual,0
i20,2016,78.75,114.0,17000,Petrol,Dealer,Manual,0
creta,2016,193.5,204.0,35934,Diesel,Dealer,Manual,0
city,2013,75.0,148.5,56701,Petrol,Dealer,Manual,0
brio,2015,81.0,102.3,31427,Petrol,Dealer,Automatic,0
city,2014,108.0,148.5,48000,Diesel,Dealer,Manual,0
city,2013,78.75,148.5,54242,Petrol,Dealer,Manual,0
brio,2012,45.0,80.25,53675,Petrol,Dealer,Manual,0
city,2016,153.75,204.0,49562,Petrol,Dealer,Manual,0
city,2015,127.5,204.0,40324,Petrol,Dealer,Manual,0
city,2015,126.0,204.0,25000,Petrol,Dealer,Manual,0
amaze,2014,58.5,105.0,36054,Petrol,Dealer,Manual,0
city,2016,137.25,204.0,29223,Petrol,Dealer,Manual,0
brio,2016,82.5,89.55,5600,Petrol,Dealer,Manual,0
amaze,2015,60.0,87.0,40023,Petrol,Dealer,Manual,0
jazz,2016,99.0,115.5,16002,Petrol,Dealer,Manual,0
amaze,2015,60.0,105.0,40026,Petrol,Dealer,Manual,0
jazz,2017,97.5,130.5,21200,Petrol,Dealer,Manual,0
amaze,2014,54.75,105.0,35000,Petrol,Dealer,Manual,0
city,2016,125.25,141.0,19434,Diesel,Dealer,Manual,0
brio,2017,72.0,87.0,19000,Petrol,Dealer,Manual,0
city,2015,100.5,150.0,18828,Petrol,Dealer,Manual,0
city,2011,61.5,150.0,69341,Petrol,Dealer,Manual,0
city,2009,45.0,150.0,69562,Petrol,Dealer,Manual,0
city,2015,112.5,150.0,27600,Petrol,Dealer,Manual,0
jazz,2010,33.75,112.5,61203,Petrol,Dealer,Manual,0
brio,2014,79.5,102.0,16500,Petrol,Dealer,Manual,0
city,2016,163.5,204.0,30753,Petrol,Dealer,Automatic,0
city,2015,129.75,204.0,24800,Petrol,Dealer,Manual,0
city,2015,145.5,204.0,21780,Petrol,Dealer,Manual,0
jazz,2016,90.0,126.0,4000,Petrol,Dealer,Manual,0
city,2014,93.75,204.0,40126,Petrol,Dealer,Manual,0
brio,2015,78.75,88.5,14465,Petrol,Dealer,Manual,0
city,2006,31.5,114.0,50456,Petrol,Dealer,Manual,0
city,2014,123.75,210.0,63000,Diesel,Dealer,Manual,0
city,2016,134.85,177.0,9010,Petrol,Dealer,Manual,0
brio,2013,52.5,88.5,9800,Petrol,Dealer,Manual,0
jazz,2016,111.0,127.5,15059,Petrol,Dealer,Automatic,0
jazz,2016,84.75,118.5,28569,Petrol,Dealer,Manual,0
amaze,2015,86.25,112.5,44000,Petrol,Dealer,Automatic,0
city,2015,126.0,204.0,34000,Petrol,Dealer,Manual,0
city,2016,151.65,204.0,10980,Petrol,Dealer,Manual,0
amaze,2014,67.5,96.0,19000,Petrol,Dealer,Manual,0
brio,2015,81.0,91.5,31427,Petrol,Dealer,Manual,0
jazz,2016,96.0,126.0,12000,Petrol,Dealer,Manual,0
city,2010,48.75,148.5,38000,Petrol,Dealer,Manual,0
amaze,2014,56.25,102.0,33019,Petrol,Dealer,Manual,0
city,2015,128.25,196.35,60076,Diesel,Dealer,Manual,0
city,2016,142.5,174.0,33988,Diesel,Dealer,Manual,0
brio,2015,60.0,88.5,60000,Petrol,Dealer,Manual,0
city,2009,50.25,165.0,87934,Petrol,Dealer,Manual,0
city,2017,172.5,187.5,9000,Diesel,Dealer,Manual,0
brio,2016,79.5,88.5,5464,Petrol,Dealer,Manual,0
